name,styleUrl,longitude,latitude,altitude
Ahmedabad location,#icon-1899-0288D1-nodesc,72.4991433,22.9975757,0
Amsterdam location,#icon-1899-0288D1-nodesc,4.8729232,52.349937,0
"Ann Arbor, MI location",#icon-1899-0288D1-nodesc,-83.726844,42.196069,0
Athens location,#icon-1899-0288D1-nodesc,23.7348157,37.9748045,0
Bangalore location,#icon-1899-0288D1-nodesc,77.7120655,12.9743998,0
Bangkok location,#icon-1899-0288D1-nodesc,100.54732,13.7387405,0
"Beijing, Oriental Plaza location",#icon-1899-0288D1-nodesc,116.414092,39.909369,0
Belgrade location,#icon-1899-0288D1-nodesc,20.4658553,44.8076095,0
Berlin location,#icon-1899-0288D1-nodesc,13.3754362,52.5111897,0
Bogota location,#icon-1899-0288D1-nodesc,-74.0494623,4.6771606,0
Budapest location,#icon-1899-0288D1-nodesc,19.0489757,47.4750225,0
"Buenos Aires, Calle Tucuman location",#icon-1899-0288D1-nodesc,-58.3875561,-34.6016107,0
Campinas Rua Orlando Fagnani location,#icon-1899-0288D1-nodesc,-47.0464052,-22.8960684,0
"Chicago, IL location",#icon-1899-0288D1-nodesc,-87.6360871,41.8774486,0
Copenhagen location,#icon-1899-0288D1-nodesc,12.5672519,55.6759687,0
Criciúma location,#icon-1899-0288D1-nodesc,-49.338866,-28.6927914,0
Dallas Location,#icon-1899-0288D1-nodesc,-96.8449828,32.97533,0
Dubai Thomson Reuters location,#icon-1899-0288D1-nodesc,55.1513852,25.0924892,0
Dublin,#icon-1899-0288D1-nodesc,-6.233351,53.3455011,0
Frankfurt location,#icon-1899-0288D1-nodesc,8.6528873,50.1125015,0
Gdansk location,#icon-1899-0288D1-nodesc,18.5752702,54.4004235,0
Heredia location,#icon-1899-0288D1-nodesc,-84.1130323,9.9639773,0
"Hong Kong, Cityplaza location",#icon-1899-0288D1-nodesc,114.2168096,22.2878034,0
Hyderabad location,#icon-1899-0288D1-nodesc,78.3862556,17.4369224,0
Johannesburg location,#icon-1899-0288D1-nodesc,28.0535995,-26.1069543,0
Juiz de Fora location,#icon-1899-0288D1-nodesc,-43.3481827,-21.7758329,0
Lisbon location,#icon-1899-0288D1-nodesc,-9.1489575,38.7255177,0
London,#icon-1899-0288D1-nodesc,-0.0174902,51.5055751,0
Luxembourg location,#icon-1899-0288D1-nodesc,6.1274437,49.6139043,0
Madrid location,#icon-1899-0288D1-nodesc,-3.6913861,40.4244326,0
Manila location,#icon-1899-0288D1-nodesc,121.0264088,14.5510655,0
McLean location,#icon-1899-0288D1-nodesc,-77.2355758,38.9326462,0
Melbourne location,#icon-1899-0288D1-nodesc,144.9633347,-37.8169726,0
Mexico City,#icon-1899-0288D1-nodesc,-99.1513664,19.434208,0
Milan location,#icon-1899-0288D1-nodesc,9.1909744,45.4620425,0
Minneapolis-Saint Paul location,#icon-1899-0288D1-nodesc,-93.1133671,44.8250902,0
Montreal location,#icon-1899-0288D1-nodesc,-73.57233,45.5002876,0
Moscow location,#icon-1899-0288D1-nodesc,37.6175753,55.7618924,0
Munchen location,#icon-1899-0288D1-nodesc,11.572159,48.1416602,0
Nairobi location,#icon-1899-0288D1-nodesc,36.8079678,-1.2860273,0
New York location,#icon-1899-0288D1-nodesc,-73.987064,40.756571,0
Oslo location,#icon-1899-0288D1-nodesc,10.7419601,59.9153142,0
Paris location,#icon-1899-0288D1-nodesc,2.3351884,48.8699584,0
Rome location,#icon-1899-0288D1-nodesc,12.49584,41.9111508,0
San Francisco location,#icon-1899-0288D1-nodesc,-122.3973037,37.7940487,0
Santiago location,#icon-1899-0288D1-nodesc,-70.6452799,-33.4381664,0
"Sao Paulo, Av. Douto Cardoso de Melo location",#icon-1899-0288D1-nodesc,-46.6910952,-23.595825,0
"Seoul, Saemunan-ro Jongno-gu location",#icon-1899-0288D1-nodesc,126.9739214,37.5697299,0
"Seoul, Songchon Building location",#icon-1899-0288D1-nodesc,127.0358991,37.5018921,0
Shanghai location,#icon-1899-0288D1-nodesc,121.504096,31.241074,0
Singapore location,#icon-1899-0288D1-nodesc,103.7934247,1.2938448,0
Stockholm location,#icon-1899-0288D1-nodesc,18.0668295,59.3321859,0
Sydney location,#icon-1899-0288D1-nodesc,151.1915144,-33.8664432,0
Taguig location,#icon-1899-0288D1-nodesc,121.0520638,14.5373458,0
Taipei location,#icon-1899-0288D1-nodesc,121.5678553,25.0344157,0
Tokyo location,#icon-1899-0288D1-nodesc,139.7488929,35.6621409,0
Toronto location,#icon-1899-0288D1-nodesc,-79.3884094,43.6480117,0
Warsaw location,#icon-1899-0288D1-nodesc,20.992751,52.2326741,0
"Washington, DC location",#icon-1899-0288D1-nodesc,-77.0311952,38.9004793,0
Zug location,#icon-1899-0288D1-nodesc,8.5140981,47.1760417,0
Zürich location,#icon-1899-0288D1-nodesc,8.5489422,47.3626404,0
